ID	Status	Category	Description	Price
1	Discontinued	Hardware	Description for product with ID of 1	 68.12 
2	Wholesale	Hardware	Description for product with ID of 2	 54.80 
3	Discontinued	Kitchen	Description for product with ID of 3	 1.38 
4	Wholesale	Clothing	Description for product with ID of 4	 42.70 
5	Wholesale	Kitchen	Description for product with ID of 5	 6.24 
6	Discounted	Hardware	Description for product with ID of 6	 26.54 
7	Retail	Clothing	Description for product with ID of 7	 48.06 
8	Discontinued	Hardware	Description for product with ID of 8	 36.06 
9	Discontinued	Clothing	Description for product with ID of 9	 67.97 
10	Discontinued	Clothing	Description for product with ID of 10	 68.56 
11	Discounted	Clothing	Description for product with ID of 11	 64.75 
12	Discontinued	Hardware	Description for product with ID of 12	 17.65 
13	Retail	Kitchen	Description for product with ID of 13	 32.95 
14	Discontinued	Kitchen	Description for product with ID of 14	 7.57 
15	Discounted	Hardware	Description for product with ID of 15	 11.00 
16	Wholesale	Hardware	Description for product with ID of 16	 13.89 
17	Retail	Hardware	Description for product with ID of 17	 54.97 
18	Retail	Clothing	Description for product with ID of 18	 71.87 
19	Retail	Clothing	Description for product with ID of 19	 69.74 
20	Retail	Kitchen	Description for product with ID of 20	 54.14 
21	Wholesale	Kitchen	Description for product with ID of 21	 71.82 
22	Wholesale	Clothing	Description for product with ID of 22	 16.72 
23	Wholesale	Clothing	Description for product with ID of 23	 65.97 
24	Wholesale	Clothing	Description for product with ID of 24	 97.81 
25	Retail	Clothing	Description for product with ID of 25	 74.20 
26	Discounted	Kitchen	Description for product with ID of 26	 9.93 
27	Wholesale	Hardware	Description for product with ID of 27	 18.41 
28	Retail	Kitchen	Description for product with ID of 28	 2.77 
29	Discounted	Kitchen	Description for product with ID of 29	 84.39 
30	Discounted	Kitchen	Description for product with ID of 30	 91.73 
31	Discontinued	Kitchen	Description for product with ID of 31	 31.01 
32	Discounted	Hardware	Description for product with ID of 32	 67.27 
33	Discontinued	Clothing	Description for product with ID of 33	 18.15 
34	Discounted	Kitchen	Description for product with ID of 34	 74.89 
35	Discontinued	Clothing	Description for product with ID of 35	 67.08 
36	Discounted	Clothing	Description for product with ID of 36	 14.27 
37	Discontinued	Clothing	Description for product with ID of 37	 10.58 
38	Retail	Hardware	Description for product with ID of 38	 66.70 
39	Discontinued	Kitchen	Description for product with ID of 39	 10.45 
40	Discounted	Kitchen	Description for product with ID of 40	 21.89 
41	Discounted	Hardware	Description for product with ID of 41	 60.78 
42	Wholesale	Clothing	Description for product with ID of 42	 32.77 
43	Retail	Clothing	Description for product with ID of 43	 82.51 
44	Retail	Kitchen	Description for product with ID of 44	 35.10 
45	Discounted	Clothing	Description for product with ID of 45	 66.59 
46	Retail	Hardware	Description for product with ID of 46	 51.24 
47	Retail	Kitchen	Description for product with ID of 47	 50.72 
48	Discounted	Hardware	Description for product with ID of 48	 23.02 
49	Retail	Kitchen	Description for product with ID of 49	 52.43 
50	Discounted	Clothing	Description for product with ID of 50	 47.39 
51	Discounted	Kitchen	Description for product with ID of 51	 49.85 
52	Retail	Clothing	Description for product with ID of 52	 4.32 
53	Wholesale	Kitchen	Description for product with ID of 53	 62.07 
54	Wholesale	Hardware	Description for product with ID of 54	 41.83 
55	Discontinued	Clothing	Description for product with ID of 55	 6.03 
56	Retail	Kitchen	Description for product with ID of 56	 82.25 
57	Discounted	Hardware	Description for product with ID of 57	 29.27 
58	Discounted	Clothing	Description for product with ID of 58	 97.79 
59	Discounted	Kitchen	Description for product with ID of 59	 71.60 
60	Discounted	Clothing	Description for product with ID of 60	 33.13 
61	Discounted	Kitchen	Description for product with ID of 61	 65.32 
62	Wholesale	Kitchen	Description for product with ID of 62	 57.12 
63	Retail	Clothing	Description for product with ID of 63	 37.31 
64	Discontinued	Kitchen	Description for product with ID of 64	 59.50 
65	Discontinued	Kitchen	Description for product with ID of 65	 15.00 
66	Discontinued	Clothing	Description for product with ID of 66	 19.37 
67	Wholesale	Kitchen	Description for product with ID of 67	 3.79 
68	Discontinued	Hardware	Description for product with ID of 68	 67.14 
69	Discontinued	Clothing	Description for product with ID of 69	 23.37 
70	Wholesale	Clothing	Description for product with ID of 70	 77.98 
71	Retail	Clothing	Description for product with ID of 71	 42.70 
72	Wholesale	Kitchen	Description for product with ID of 72	 48.58 
73	Discounted	Kitchen	Description for product with ID of 73	 46.68 
74	Wholesale	Hardware	Description for product with ID of 74	 48.78 
75	Discontinued	Clothing	Description for product with ID of 75	 42.46 
76	Discounted	Clothing	Description for product with ID of 76	 52.98 
77	Wholesale	Kitchen	Description for product with ID of 77	 83.90 
78	Retail	Kitchen	Description for product with ID of 78	 32.63 
79	Discounted	Hardware	Description for product with ID of 79	 34.03 
80	Discounted	Hardware	Description for product with ID of 80	 91.43 
81	Discounted	Kitchen	Description for product with ID of 81	 34.95 
82	Discontinued	Kitchen	Description for product with ID of 82	 94.19 
83	Discontinued	Hardware	Description for product with ID of 83	 52.93 
84	Retail	Hardware	Description for product with ID of 84	 86.90 
85	Discontinued	Kitchen	Description for product with ID of 85	 48.22 
86	Wholesale	Hardware	Description for product with ID of 86	 43.19 
87	Discounted	Clothing	Description for product with ID of 87	 16.66 
88	Discontinued	Hardware	Description for product with ID of 88	 63.96 
89	Wholesale	Clothing	Description for product with ID of 89	 28.04 
90	Wholesale	Hardware	Description for product with ID of 90	 10.99 
91	Retail	Hardware	Description for product with ID of 91	 7.75 
92	Discontinued	Kitchen	Description for product with ID of 92	 23.75 
93	Discounted	Clothing	Description for product with ID of 93	 93.15 
94	Discounted	Clothing	Description for product with ID of 94	 13.80 
95	Wholesale	Clothing	Description for product with ID of 95	 32.58 
96	Discounted	Clothing	Description for product with ID of 96	 60.09 
97	Discounted	Clothing	Description for product with ID of 97	 8.59 
98	Wholesale	Hardware	Description for product with ID of 98	 47.17 
99	Discontinued	Hardware	Description for product with ID of 99	 9.27 
100	Discontinued	Hardware	Description for product with ID of 100	 12.62 
101	Retail	Hardware	Description for product with ID of 101	 67.90 
102	Wholesale	Hardware	Description for product with ID of 102	 33.82 
103	Retail	Kitchen	Description for product with ID of 103	 11.05 
104	Discounted	Clothing	Description for product with ID of 104	 18.22 
105	Discontinued	Clothing	Description for product with ID of 105	 17.30 
106	Discontinued	Clothing	Description for product with ID of 106	 30.54 
107	Discontinued	Clothing	Description for product with ID of 107	 26.47 
108	Discounted	Clothing	Description for product with ID of 108	 7.54 
109	Wholesale	Clothing	Description for product with ID of 109	 96.92 
110	Discontinued	Hardware	Description for product with ID of 110	 95.56 
111	Retail	Kitchen	Description for product with ID of 111	 81.28 
112	Retail	Kitchen	Description for product with ID of 112	 42.02 
113	Retail	Kitchen	Description for product with ID of 113	 6.34 
114	Wholesale	Clothing	Description for product with ID of 114	 59.27 
115	Retail	Kitchen	Description for product with ID of 115	 38.73 
116	Discontinued	Clothing	Description for product with ID of 116	 20.93 
117	Wholesale	Hardware	Description for product with ID of 117	 80.59 
118	Wholesale	Clothing	Description for product with ID of 118	 83.72 
119	Wholesale	Hardware	Description for product with ID of 119	 17.29 
120	Discounted	Hardware	Description for product with ID of 120	 41.36 
121	Wholesale	Clothing	Description for product with ID of 121	 8.90 
122	Discontinued	Kitchen	Description for product with ID of 122	 28.81 
123	Wholesale	Hardware	Description for product with ID of 123	 63.24 
124	Discounted	Hardware	Description for product with ID of 124	 79.63 
125	Wholesale	Clothing	Description for product with ID of 125	 44.88 
126	Discontinued	Hardware	Description for product with ID of 126	 8.59 
127	Wholesale	Clothing	Description for product with ID of 127	 49.17 
128	Discounted	Kitchen	Description for product with ID of 128	 48.07 
129	Discounted	Kitchen	Description for product with ID of 129	 40.19 
130	Discounted	Clothing	Description for product with ID of 130	 88.27 
131	Retail	Hardware	Description for product with ID of 131	 95.47 
132	Wholesale	Clothing	Description for product with ID of 132	 58.77 
133	Discounted	Kitchen	Description for product with ID of 133	 65.57 
134	Discontinued	Clothing	Description for product with ID of 134	 21.20 
135	Discounted	Hardware	Description for product with ID of 135	 71.21 
136	Retail	Kitchen	Description for product with ID of 136	 2.32 
137	Discounted	Kitchen	Description for product with ID of 137	 22.65 
138	Discontinued	Hardware	Description for product with ID of 138	 17.43 
139	Discontinued	Hardware	Description for product with ID of 139	 58.83 
140	Discounted	Kitchen	Description for product with ID of 140	 54.55 
141	Retail	Kitchen	Description for product with ID of 141	 74.53 
142	Discontinued	Hardware	Description for product with ID of 142	 18.93 
143	Retail	Clothing	Description for product with ID of 143	 4.39 
144	Retail	Kitchen	Description for product with ID of 144	 13.81 
145	Discounted	Kitchen	Description for product with ID of 145	 33.34 
146	Discounted	Kitchen	Description for product with ID of 146	 42.67 
147	Discontinued	Clothing	Description for product with ID of 147	 27.42 
148	Discounted	Clothing	Description for product with ID of 148	 51.91 
149	Discounted	Kitchen	Description for product with ID of 149	 29.71 
150	Wholesale	Kitchen	Description for product with ID of 150	 92.44 
151	Discontinued	Clothing	Description for product with ID of 151	 9.38 
152	Discontinued	Kitchen	Description for product with ID of 152	 77.12 
153	Discontinued	Hardware	Description for product with ID of 153	 46.60 
154	Retail	Kitchen	Description for product with ID of 154	 11.81 
155	Discontinued	Kitchen	Description for product with ID of 155	 41.06 
156	Discontinued	Hardware	Description for product with ID of 156	 69.94 
157	Discontinued	Hardware	Description for product with ID of 157	 34.50 
158	Wholesale	Kitchen	Description for product with ID of 158	 62.11 
159	Retail	Kitchen	Description for product with ID of 159	 96.12 
160	Wholesale	Clothing	Description for product with ID of 160	 67.45 
161	Retail	Hardware	Description for product with ID of 161	 64.95 
162	Wholesale	Clothing	Description for product with ID of 162	 68.26 
163	Wholesale	Clothing	Description for product with ID of 163	 33.54 
164	Discontinued	Kitchen	Description for product with ID of 164	 54.74 
165	Retail	Hardware	Description for product with ID of 165	 44.80 
166	Discontinued	Kitchen	Description for product with ID of 166	 75.96 
167	Discounted	Kitchen	Description for product with ID of 167	 12.85 
168	Retail	Clothing	Description for product with ID of 168	 87.65 
169	Wholesale	Clothing	Description for product with ID of 169	 12.88 
170	Discontinued	Kitchen	Description for product with ID of 170	 57.29 
171	Retail	Hardware	Description for product with ID of 171	 12.86 
172	Discounted	Clothing	Description for product with ID of 172	 1.76 
173	Discounted	Clothing	Description for product with ID of 173	 73.18 
174	Discontinued	Clothing	Description for product with ID of 174	 31.50 
175	Discontinued	Hardware	Description for product with ID of 175	 75.85 
176	Discounted	Hardware	Description for product with ID of 176	 80.47 
177	Wholesale	Hardware	Description for product with ID of 177	 67.71 
178	Retail	Clothing	Description for product with ID of 178	 22.87 
179	Retail	Clothing	Description for product with ID of 179	 16.86 
180	Discounted	Hardware	Description for product with ID of 180	 39.93 
181	Retail	Clothing	Description for product with ID of 181	 21.16 
182	Wholesale	Hardware	Description for product with ID of 182	 8.59 
183	Wholesale	Clothing	Description for product with ID of 183	 54.84 
184	Wholesale	Kitchen	Description for product with ID of 184	 57.31 
185	Retail	Clothing	Description for product with ID of 185	 39.75 
186	Wholesale	Hardware	Description for product with ID of 186	 47.03 
187	Discontinued	Hardware	Description for product with ID of 187	 43.58 
188	Discounted	Kitchen	Description for product with ID of 188	 8.67 
189	Retail	Hardware	Description for product with ID of 189	 77.18 
190	Discounted	Kitchen	Description for product with ID of 190	 20.79 
191	Wholesale	Hardware	Description for product with ID of 191	 9.42 
192	Wholesale	Clothing	Description for product with ID of 192	 29.29 
